Serial No,Name,Description,Link,Tags
159,RoboComp,An open-source framework to develop and manage robot components.,https://summerofcode.withgoogle.com/archive/2021/organizations/6285571999137792,"['python', ' opencv', ' qt5', ' c++17', ' pytorch']"
160,Rocket.Chat,The ultimate open source team chat and federated communications platform,https://summerofcode.withgoogle.com/archive/2021/organizations/6240940410273792,"['react', ' nodejs', ' docker', ' kubernetes', ' react native']"
161,RTEMS Project,RTEMS is a real-time operating system kernel used around the world and in space.,https://summerofcode.withgoogle.com/archive/2021/organizations/5979439984279552,"['python', ' c/c++', ' assembly', ' posix', ' bsd unix']"
162,Ruby,Ruby is object-oriented programming language,https://summerofcode.withgoogle.com/archive/2021/organizations/5432182465626112,"['ruby on rails']"
163,SageMath,open-source mathematics software system,https://summerofcode.withgoogle.com/archive/2021/organizations/5180088957534208,"['python', ' cython']"
164,Samba,Opening windows to a wider world,https://summerofcode.withgoogle.com/archive/2021/organizations/5673937584783360,"['c', ' smb', ' cifs']"
165,Scala Center,"For open source, for education",https://summerofcode.withgoogle.com/archive/2021/organizations/5492555210293248,"['#scala', ' #scala_lang', ' #jvm', ' #llvm', ' #js']"
166,SCoRe Lab,"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.",https://summerofcode.withgoogle.com/archive/2021/organizations/5416561266917376,"['python', ' android', ' nodejs', ' golang']"
167,ScummVM,ScummVM is an Adventure and Role-Playing game preservation project,https://summerofcode.withgoogle.com/archive/2021/organizations/5723178982178816,"['opengl', ' lua', ' c++', ' assembly', ' sdl']"
168,Shaka Player,An open-source JavaScript library to play adaptive media.,https://summerofcode.withgoogle.com/archive/2021/organizations/4852309401534464,"['python', ' javascript', ' web development', ' video codecs', ' ui/ux']"
169,Software Heritage,The Great Library of Source Code,https://summerofcode.withgoogle.com/archive/2021/organizations/5396997154013184,"['python', ' postgresql', ' django', ' git', ' elasticsearch']"
170,SPDX,SPDX develops and promotes open standards for communicating software information,https://summerofcode.withgoogle.com/archive/2021/organizations/4886205283434496,"['python', ' java', ' json', ' golang', ' rdf']"
171,STE||AR Group,Shaping a Scalable Future,https://summerofcode.withgoogle.com/archive/2021/organizations/6522897060855808,"['python', ' c++', ' boost']"
172,strace,linux syscall tracer,https://summerofcode.withgoogle.com/archive/2021/organizations/6067595530207232,"['c', ' linux', ' shell script', ' make', ' git']"
173,Sugar Labs,"We build and maintain tools that learners use to explore, create, and reflect.",https://summerofcode.withgoogle.com/archive/2021/organizations/6572491585093632,"['javascript', ' react', ' typescript', ' vue.js', ' python gtk']"
174,Swift,"Swift is a general-purpose, safe, and expressive programming language.",https://summerofcode.withgoogle.com/archive/2021/organizations/4908645044715520,"['llvm', ' c++', ' swift']"
175,SymbiFlow,A completely FOSS toolchain for FPGAs.,https://summerofcode.withgoogle.com/archive/2021/organizations/4577761535983616,"['python', ' c/c++', ' verilog', ' fpga']"
176,SymPy,Symbolic mathematics in Python,https://summerofcode.withgoogle.com/archive/2021/organizations/5401117973807104,"['python']"
177,Synfig,Open-source 2D animation software,https://summerofcode.withgoogle.com/archive/2021/organizations/6046097876713472,"['python', ' gtk', ' c++11', ' gtkmm']"
178,syslog-ng,"syslog-ng is an enhanced log daemon, supporting a wide range of I/O methods",https://summerofcode.withgoogle.com/archive/2021/organizations/6224442098712576,"['c', ' python', ' sql', ' elasticsearch', ' kafka']"
179,Tarantool,In-memory computing platform,https://summerofcode.withgoogle.com/archive/2021/organizations/6336686404927488,"['c', ' lua', ' sql']"
180,TARDIS SN,Exploring supernovae made easy,https://summerofcode.withgoogle.com/archive/2021/organizations/4742904236474368,"['python', ' numba', ' numpy', ' jupyter', ' pandas']"
181,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.,https://summerofcode.withgoogle.com/archive/2021/organizations/6649841832165376,"['javascript', ' c/c++', ' python deep learning frameworks']"
182,The Apache Software Foundation,Providing open source software to the public free of charge,https://summerofcode.withgoogle.com/archive/2021/organizations/5149287498907648,"['c', ' java', ' c++', ' rust']"
183,The ENIGMA Team,A free development environment geared towards game development.,https://summerofcode.withgoogle.com/archive/2021/organizations/5988826467532800,"['android', ' opengl', ' c++', ' qt5']"
184,The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,https://summerofcode.withgoogle.com/archive/2021/organizations/5942967122001920,"['c', ' python', ' django', ' c++', ' docker']"
185,The Julia Language,A fresh approach to Technical Computing,https://summerofcode.withgoogle.com/archive/2021/organizations/5086646441082880,"['julia', ' julialang']"
186,The Libreswan Project,Encrypting the Internet with IKE and IPsec,https://summerofcode.withgoogle.com/archive/2021/organizations/6271961616875520,"['c', ' python', ' kvm', ' namespaces']"
187,The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,https://summerofcode.withgoogle.com/archive/2021/organizations/5715751809318912,"['c', ' linux', ' c++', ' cups', ' ipp']"
188,The LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,https://summerofcode.withgoogle.com/archive/2021/organizations/5738954464165888,"['c/c++', ' llvm', ' clang', ' mlir']"
189,The NetBSD Foundation,Of course it runs NetBSD,https://summerofcode.withgoogle.com/archive/2021/organizations/5674199175135232,"['c', ' shell script', ' make', ' bsd unix']"
190,The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,https://summerofcode.withgoogle.com/archive/2021/organizations/6270070723969024,"['c++', ' python 3']"
191,The Palisadoes Foundation,Helping community-based organizations grow by using better software,https://summerofcode.withgoogle.com/archive/2021/organizations/4835102856577024,"['javascript', ' mongodb', ' node.js', ' flutter', ' graphql']"
192,The R Project for Statistical Computing,R is a free software environment for statistical computing and graphics.,https://summerofcode.withgoogle.com/archive/2021/organizations/6564346347388928,"['javascript', ' c/c++', ' r-project', ' fortran']"
193,The Terasology Foundation,Voxel world game/engine with a large focus on extensibility and developer tools,https://summerofcode.withgoogle.com/archive/2021/organizations/4867306789797888,"['java', ' opengl', ' gradle', ' kotlin', ' lwjgl']"
194,TianoCore,"A modern, feature-rich, cross-platform, open source implementation of UEFI",https://summerofcode.withgoogle.com/archive/2021/organizations/6228850043781120,"['c', ' python', ' rust', ' golang', ' uefi']"
195,VideoLAN,Open Source Multimedia for Everyone,https://summerofcode.withgoogle.com/archive/2021/organizations/6526086241845248,"['c', ' machine learning', ' c++', ' audio', ' video codecs']"
196,vitrivr,The multimedia search engine,https://summerofcode.withgoogle.com/archive/2021/organizations/5714570659758080,"['java', ' kotlin', ' tensorflow', ' angular', ' typescript']"
197,Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,https://summerofcode.withgoogle.com/archive/2021/organizations/5270263742070784,"['python', ' javascript', ' html', ' php', ' css']"
198,Xfce,Fast and lightweight Gtk3 desktop environment for Linux and BSD,https://summerofcode.withgoogle.com/archive/2021/organizations/5706869816950784,"['c', ' python', ' javascript', ' gtk', ' vala']"
199,Xiph.Org Foundation,Open-source and royalty free multimedia,https://summerofcode.withgoogle.com/archive/2021/organizations/5197456597319680,"['rust', ' assembly', ' arm', ' x86', ' c language']"
200,xrdesktop,XR for the Linux Desktop,https://summerofcode.withgoogle.com/archive/2021/organizations/5134539654955008,"['c', ' vulkan', ' wayland', ' glib', ' openxr']"
201,XWiki,The Advanced Open Source Enterprise Wiki,https://summerofcode.withgoogle.com/archive/2021/organizations/5665151457427456,"['javascript', ' java', ' html5', ' css3', ' velocity']"
202,Zulip,"Powerful, modern, open source team chat, complete with apps for every platform.",https://summerofcode.withgoogle.com/archive/2021/organizations/5441147069005824,"['python', ' django', ' typescript', ' react native', ' electron']"
